name,cuisine,inspection_date,score,critical
HOLIDAY INN EXPRESS,Continental,05/17/2024,31,0
STARBUCKS COFFEE,Coffee/Tea,04/08/2022,21,0
NEW YORK YACHT CLUB,American,10/02/2023,24,1
METROPOLITAN CLUB,American,06/28/2023,10,0
MARACA NYC,Other,05/31/2023,36,0
THE BIG APPLE (RITZ CARLTON HOTEL EMPLOYEE CAFETERIA),American,09/24/2024,13,0
BAR CENTRALE,American,07/21/2022,4,0
WIMPY'S RESTAURANT,American,03/26/2024,12,1
PRINCE TEA HOUSE,Chinese,09/07/2022,13,0
ORAI RECORD BAR,Japanese,01/29/2023,10,1
CHOP-SHOP,Asian/Asian Fusion,07/26/2022,34,1
456 NEW SHANGHAI RESTAURANT,Chinese,03/12/2025,55,1
POP'S PIZZERIA,Pizza,11/06/2024,12,0
8-BIT BITES,American,08/01/2023,38,1
PRET A MANGER,Sandwiches,05/23/2024,8,0
CHAROEN KRUNG,Thai,09/26/2023,46,1
STELLA 34,Italian,06/08/2022,0,1
GOLDEN SHANGHAI,Chinese,08/14/2023,19,1
DOMINIQUE ANSEL BAKERY,French,03/20/2023,13,1
CHEF TAN,Chinese,01/11/2023,23,0
TAVERNA KYCLADES,Greek,12/13/2023,22,0
MATCHAFUL,Coffee/Tea,06/27/2024,27,1
BOXERS NYC,American,03/06/2025,31,1
GOLDEN DINER,American,02/27/2025,13,1
SWEETS BAKERY,Bakery Products/Desserts,01/30/2023,23,1
THE LIONS BAR & GRILL,French,03/08/2023,26,0
CASA LA FEMME,Egyptian,12/14/2023,9,1
BONJOUR CREPES & WINE,Sandwiches,07/05/2022,0,1
TOWNHOUSE OF NY,American,05/16/2024,9,0
TEXAS CHICKEN & BURGERS,Chicken,03/22/2023,12,1
LINDENS,American,02/03/2023,7,0
D'MARITZA'S CAKE SHOP,Bakery Products/Desserts,02/23/2024,12,0
EVA'S x CINCO DE MAYO,Mexican,11/07/2022,13,1
CICCIO,Italian,01/02/2020,33,0
BORIS & HORTON,Coffee/Tea,06/13/2022,20,0
SID GOLD'S REQUEST ROOM,American,05/28/2024,24,1
MCDONALD'S,Hamburgers,09/19/2023,11,0
BAKED CHEESE HAUS,Bagels/Pretzels,11/28/2023,27,1
AMANO CAFE,Coffee/Tea,05/27/2022,20,1
SARITA'S MAC & CHEESE,American,05/23/2022,83,1
A SLICE OF NEW YORK,Pizza,01/02/2025,31,1
ARTURO'S,Italian,02/14/2022,9,1
NAPOLI PIZZA,Pizza,01/30/2025,107,1
JOHN'S PIZZERIA,Pizza,02/28/2022,27,1
L'AVENUE AT SAKS,French,10/03/2024,13,0
CHIPOTLE MEXICAN GRILL,Tex-Mex,08/18/2021,6,0
KARAOKE WOW,Asian/Asian Fusion,08/25/2021,11,0
DOMINICAN VALLE RESTAURANT,Spanish,08/08/2022,43,1
CLAUDETTE,French,07/12/2022,12,1
RAMEN ISHIDA CHELSEA,Japanese,02/25/2025,19,0
ONE FIFTY FRESH PIZZA 40TH ST,Pizza,11/20/2024,12,0
BUDDHA BODAI KOSHER VEGETARIAN RESTAURANT,Vegetarian,09/13/2022,0,0
THE SCRATCHER CAFE,Irish,03/16/2022,7,1
DEATH AVENUE BAR & GRIL,American,06/11/2024,13,1
LENWICH,Sandwiches/Salads/Mixed Buffet,01/27/2023,13,0
THE COPPOLA CAFE,Italian,04/28/2023,66,0
SHAKE SHACK,American,08/31/2022,11,0
INTERCONTINENTAL HOTEL (THE STINGER RESTAURANT),French,03/09/2022,18,0
SUSHI GINZA,Japanese,11/20/2023,38,1
TACO BELL,Tex-Mex,06/27/2022,31,0
NAYA,Middle Eastern,08/13/2024,24,0
AMERICAN AIRLINES THEATER,American,08/09/2017,12,1
GREGORY'S COFFEE,Coffee/Tea,01/20/2023,7,1
IRVING FARM,American,05/10/2022,19,1
CAROL'S BUN,Chinese,09/27/2022,19,1
TACO BELL,Mexican,11/22/2023,11,0
COMPASS GROUP,American,04/07/2023,6,1
CARMEN'S KITCHEN / 2 BROS PIZZA,Other,07/16/2024,14,0
DONs BOGAM,Korean,01/31/2024,28,1
2 BROS PIZZA / CARMENS KITCHEN,Spanish,08/02/2024,52,1
TARTINERY,American,02/28/2022,23,0
SARAVANA BHAVAN,Indian,09/21/2023,65,0
DISHES,American,02/24/2023,27,1
P.McDAID'S IRISH PUB,American,12/06/2023,9,1
RONG HANG RESTAURANT,Chinese,04/18/2022,44,1
"GREY LADY, RISE COFFEE",American,01/11/2022,7,1
DUNKIN' / BASKIN ROBBINS,Donuts,07/28/2022,19,0
JUST SALAD,Salads,06/16/2022,10,0
3 TIMES,Asian/Asian Fusion,02/23/2022,22,1
REDEMPTION,American,10/31/2019,27,1
HUDSON CLEARWATER,French,12/19/2024,22,1
BLAKE & TODD,Sandwiches,04/19/2023,9,1
JOE & THE JUICE,"Juice, Smoothies, Fruit Salads",09/14/2022,0,1
SAPPHIRE GENTLEMANS CLUB TIMES SQUARE,American,06/22/2023,17,1
KUNG FU TEA,Asian/Asian Fusion,12/05/2024,19,1
MONTE'S TRATTORIA,Italian,05/01/2023,56,1
MANHATTAN ELITE,American,09/22/2022,13,1
EVERGREEN ON 38,Chinese,07/07/2022,30,1
LOS 2 CARNALES TAQUERIA DELI,Mexican,12/07/2023,102,0
BILL'S BAR & BURGER ROCKEFELLER CENTER,American,05/21/2024,13,1
VILLAGE CREPERIE,Coffee/Tea,10/22/2024,13,1
MOE'S CAFE,American,03/17/2023,21,1
TINY'S AND THE BAR UPSTAIRS,American,10/07/2024,36,1
BOBBY VAN'S GRILL,Steakhouse,10/23/2024,59,0
CHIPOTLE MEXICAN GRILL,Tex-Mex,12/04/2023,19,1
DARYL ROTH THEATRE,American,10/30/2018,13,1
BARBUTO WEST,Italian,03/13/2024,20,1
CHIPOTLE MEXICAN GRILL,Tex-Mex,06/10/2024,9,0
LENOX FAST FOOD,American,02/09/2023,23,1
DARONGHUA BAKERY,Bakery Products/Desserts,11/01/2022,26,0
GAIA RESTAURANT,Mediterranean,10/22/2024,19,1
DON CEVICHE,Peruvian,06/29/2023,22,0
$1.50 FRESH PIZZA & HOT DOG,Pizza,05/18/2023,64,1
G'S CANDY STORE COFFEE SHOP,American,09/21/2022,21,0
BEACH CAFE,American,09/10/2024,95,0
WEST10WEST,Mediterranean,03/20/2023,8,0
SPARKS STEAK HOUSE,Steakhouse,10/09/2024,4,0
G.O.A.T CAFÉ,Coffee/Tea,09/05/2024,35,1
STICKY'S FINGER JOINT,American,12/05/2023,13,0
LEFT BANK,American,02/28/2023,8,0
ATOMIC WINGS,Chicken,01/13/2023,49,0
GEBHARD'S BEER CULTURE,American,01/26/2023,43,1
WRAP N RUN GRILL,American,03/14/2024,43,0
NAMI NORI,Japanese,09/28/2022,7,0
APPLE JACK DINER,American,03/21/2022,49,1
OLLIES TO GO,Chinese,08/08/2022,13,1
PEPE ROSSO TO GO,Italian,10/08/2024,26,1
YANG FUN GARDEN,Chinese,05/15/2024,10,1
LLOYD'S CARROT CAKE,Bakery Products/Desserts,10/26/2023,2,0
BALZEM,Mediterranean,07/08/2024,22,0
HANOK KOREA HOUSE,Korean,10/16/2024,24,1
EL CAMION CANTINA,Mexican,02/18/2025,24,0
CORBET & CONLEY CATERERS,American,12/24/2024,57,0
SOPHRA TURKISH RESTAURANT,Turkish,04/26/2023,22,1
M AND PIZZA,Pizza,07/31/2024,46,0
IL GATTOPARDO,Italian,12/13/2022,13,1
"SEAN'S BAR & KITCHEN, REILLEY'S PLATES & POURS",American,04/17/2024,65,1
TRIA DINER,American,11/20/2024,41,0
STARBUCKS COFFEE,Coffee/Tea,05/31/2023,5,0
THE CLUB,American,04/04/2024,12,1
MEL'S BURGER,American,11/21/2024,13,0
MING WONG RESTAURANT,Chinese,09/25/2023,27,1
EMMY SQUARED PIZZA,Pizza,01/06/2025,27,0
COPPA,Coffee/Tea,08/22/2022,0,1
SPAGHETTI INCIDENT,Italian,12/10/2024,13,1
DELICIAS MEXICANAS,Mexican,09/19/2022,0,1
RESIDENCE INN WORLD TRADE CENTER,American,07/26/2022,12,1
FINNEGAN'S WAKE,Irish,02/02/2023,27,1
UNREGULA PIZZA,Pizza,01/28/2025,14,1
THE KUNJIP,Korean,05/11/2022,10,0
UNION CLUB OF CITY OF NEW YORK,French,09/25/2018,13,0
ANDO PATISSERIE,Bakery Products/Desserts,11/29/2024,2,0
SUBWAY,Sandwiches,04/19/2023,34,0
QAHWAH HOUSE,Middle Eastern,11/14/2024,18,1
EL PAISA TEPEACA,Mexican,02/09/2023,34,1
TUDOR CITY STEAKHOUSE,Steakhouse,10/10/2024,40,0
ANGLERS CLUB OF NEW YORK,American,07/08/2024,5,0
ACES,American,01/23/2024,23,0
THE FLATIRON ROOM,New American,01/31/2024,36,1
SHAKE SHACK,Hamburgers,06/05/2024,4,0
YAMA RAMEN,Japanese,12/02/2024,9,0
MAMA FINA'S,Filipino,06/13/2022,75,1
KARIZMA LOUNGE,Middle Eastern,06/06/2023,35,1
WAYPOINT CAFE NYC,Coffee/Tea,07/23/2021,32,1
STARBUCKS,Coffee/Tea,11/30/2023,9,0
GUGU ROOM,Filipino,03/07/2024,14,0
HUDSON BAR AND BOOKS,American,05/04/2022,9,0
CITY DINER,American,12/14/2023,21,1
ARTE RESTAURANT,Italian,01/07/2025,6,0
STICKY'S FINGER JOINT,Chicken,10/24/2024,19,1
FUNNY FACE BAKERY,Bakery Products/Desserts,10/09/2024,10,1
ITALIANISSIMO RISTORANTE,Italian,02/29/2020,10,1
VIVI BUBBLE TEA,Chinese,02/05/2024,50,1
CHUN YANG,Coffee/Tea,02/28/2024,5,0
LATTANZI,Italian,08/16/2017,13,1
STICKY'S FINGER JOINT,American,08/30/2021,17,1
SQUARE PIZZA,Pizza,06/14/2023,39,1
EL PASO TAQUERIA,Mexican,11/21/2022,22,1
THE RED STACHE,Armenian,04/24/2024,7,0
IVAN RAMEN,Japanese,08/30/2022,13,0
HAMPTON INN - MANHATTAN TIMES SQUARE SOUTH,American,05/31/2024,4,0
GRK FRESH GREEK,Greek,01/30/2020,35,1
BOQUERIA,Spanish,06/25/2024,35,1
LUCHADORES,Mexican,02/01/2023,54,0
WATERMARK BAR,American,02/03/2022,10,0
MARK JOSEPH STEAKHOUSE,Steakhouse,01/18/2023,13,0
JAIRO Y ANTHONY GROCERY DELI,Spanish,05/17/2023,50,1
SHIMA SUSHI,Asian/Asian Fusion,01/29/2024,31,0
SHAKING CRAB,Seafood,04/20/2023,23,0
POPEYES,Chicken,01/18/2023,13,0
FRUCES,"Juice, Smoothies, Fruit Salads",01/13/2025,24,1
VIA QUADRONNO,Italian,11/01/2023,32,0
BLUJEEN,American,02/05/2020,29,0
MABU CAFE NYC,Chinese,08/15/2023,12,1
MAMOUNS FALAFEL,Middle Eastern,03/10/2023,3,0
LAO MA SPICY,Chinese,11/22/2022,23,1
WENDY'S,Hamburgers,12/14/2023,50,1
TUBBY HOOK TAVERN,American,07/06/2022,21,1
LA LANTERNA DI VITTORIO,Italian,07/10/2024,11,1
PIZZA LOVES SAUCE,Pizza,08/21/2023,27,1
VIVI BUBBLE TEA,Coffee/Tea,11/01/2023,20,1
PEAK RESTAURANT,American,10/07/2022,38,1
TARTINERY,American,02/28/2022,23,1
BAO BY KAYA,Chinese,11/04/2024,12,1
ONE AND ONE,Irish,03/05/2024,12,0
787 COFFEE CO,Coffee/Tea,05/25/2022,33,1
YAKINIKU GEN,Japanese,03/13/2024,35,1
POPEYES,Chicken,12/13/2022,10,0
HEX AND COMPANY,American,04/26/2022,32,0
MONTE CARLO DINER,American,08/15/2023,21,0
MANSIONS CATER,American,06/04/2016,19,1
D ELICI,American,05/24/2022,40,1
PANDA EXPRESS,Chinese,05/02/2023,12,0
GOLDEN DRAGON,Chinese,05/20/2024,21,1
CAZUELA MEXICANA,Mexican,07/18/2023,32,0
EMPELLON,Mexican,09/27/2022,9,1
SACHI ASIAN BISTRO I,Chinese,08/14/2024,36,1
BIDDY'S PUB,American,07/25/2024,11,0
LENWICH,American,06/14/2022,19,0
SIP & SCOOP,"Juice, Smoothies, Fruit Salads",08/08/2024,109,1
CECI ITALIAN CUISINE,Italian,02/14/2023,22,1
DOMINICAN VALLE RESTAURANT,Spanish,02/19/2025,21,1
TAQUERIA SAN PEDRO,Mexican,03/04/2025,9,1
BLUESTONE LANE,American,06/16/2023,12,1
LULU'S BAKERY,Coffee/Tea,02/07/2025,29,1
DILL & PARSLEY,Mediterranean,12/29/2022,47,1
OLLIN,Mexican,05/14/2024,18,1
SIMPLY NOODLES,Chinese,05/01/2023,23,0
BIDDY'S PUB,American,07/25/2024,11,0
JACOB'S PICKLES,American,02/01/2023,12,1
iPizzaNY,Pizza,05/25/2022,41,0
TICK TOCK DINER/ BUTCHER AND THE BANKER,American,03/04/2022,47,0
TRACKS,Seafood,07/30/2024,7,1
VESELKA RESTAURANT,Eastern European,01/26/2023,51,0
9 JONES,Greek,05/02/2023,13,1
ROYAL BANK OF CANADA: FOR THE WORLD,Coffee/Tea,01/10/2025,9,1
OUTRO,Coffee/Tea,11/29/2022,21,0
LIGHTHOUSE FISHMARKET,Seafood,08/10/2022,65,0
UNION SQUARE EVENTS,American,08/09/2021,10,1
JUICE GENERATION,"Juice, Smoothies, Fruit Salads",04/18/2022,8,1
KYURAMEN / TBAAR,Japanese,07/20/2023,29,1
MAKE MY FISH,Seafood,06/26/2024,19,1
CHINA KING,Chinese,12/15/2021,7,1
NERO.LAB CAFE,Italian,04/05/2023,66,1
MONTE'S TRATTORIA,Italian,05/01/2023,56,0
PRET A MANGER,American,05/16/2024,19,0
DEBORAH MILLER,American,11/02/2022,38,1
ALOAF CAFE,Bakery Products/Desserts,08/04/2022,27,1
JOE COFFEE,Coffee/Tea,04/12/2023,4,0
DOMINO'S PIZZA #3687,Pizza,06/02/2022,0,0
PIZZA SHACK,Pizza,08/14/2024,72,1
BAMBOO EMPANADAS & JUICE BAR,"Juice, Smoothies, Fruit Salads",08/28/2023,34,0
LOLITAS KITCHEN & BURGER HOUSE,Mexican,02/17/2023,28,1
LA DOLCE VITO,Frozen Desserts,04/04/2024,7,0
BURGER KING,Hamburgers,10/22/2024,9,1
PARDON MY FRENCH,French,01/23/2024,26,0
ZUCKER'S BAGELS AND SMOKED FISH,Bagels/Pretzels,09/18/2024,23,1
MEE SUM CAFE,Coffee/Tea,06/20/2023,54,1
CHILI,Chinese,01/30/2025,24,1
THREE JEWELS,Coffee/Tea,05/20/2022,7,1
DD SOUP DUMPLING,Asian/Asian Fusion,08/15/2024,63,1
AYADA THAI 2,Thai,02/24/2025,16,0
DUNKIN',Donuts,01/22/2025,7,0
SERAFINA,American,01/06/2025,25,1
GRANDMA'S HOME,Chinese,10/01/2024,30,1
El Nuevo Valle Seafood Restaurant,Latin American,10/29/2024,12,1
DUNKIN,Donuts,10/28/2022,2,0
MANSIONS CATER,American,09/15/2017,9,0
COPPOLA'S,Italian,07/22/2021,37,1
KURO KUMA ESPRESSO & COFFEE,Coffee/Tea,09/13/2022,12,1
BAGEL WORKS,Bagels/Pretzels,10/05/2022,17,1
MEZCALI,Mexican,05/22/2023,44,1
ZUCKER'S BAGELS,Bagels/Pretzels,03/24/2022,18,1
FLIK INTERNATIONAL CORP.,American,11/12/2024,13,0
EPISTROPHY CAFE,Italian,01/04/2023,15,1
JACK'S COFFEE,Coffee/Tea,01/31/2023,11,0
FRISSON ESPRESSO,Coffee/Tea,06/14/2022,39,1
ARVACI COFFEE,Coffee/Tea,04/04/2024,58,0
SLEEP NO MORE AT THE MCKITTRICK HOTEL,American,03/01/2023,9,1
PINTO GARDEN,Thai,06/15/2023,38,0
MONKEY CUP,Coffee/Tea,06/22/2023,12,1
WOK WOK RESTAURANT,Asian/Asian Fusion,06/07/2022,0,1
BEACH CAFE,American,09/10/2024,95,1
HENO HENO / MIROKU,Japanese,04/14/2023,21,1
ATLA,Mexican,02/01/2022,9,0
2ND AVENUE DELI,Jewish/Kosher,05/25/2022,11,0
MOTTSU,Japanese,08/27/2024,24,1
FELICE,Italian,10/22/2024,44,0
NASSAU BAR,Bottled Beverages,03/31/2022,31,0
WAFLES & DINGES,American,06/30/2023,28,1
LA COLOMBE,Coffee/Tea,03/29/2022,19,0
HOUSEMAN RESTAURANT,American,10/20/2022,35,1
FRIJOLITO'S RESTAURANT,Mexican,03/23/2024,24,1
STARBUCKS,Coffee/Tea,12/27/2023,29,0
"YIWANMEN, CHONG QING NOODLE",Chinese,08/04/2021,10,0
LE GOURMET,American,10/17/2024,5,1
HOP LEE RESTAURANT,Chinese,01/31/2024,30,0
WINTER GARDEN THEATER,American,02/22/2017,36,1
$1.50 FRESH PIZZA & HOT DOG,Pizza,06/05/2023,24,1
ANITA GELATO,Frozen Desserts,10/29/2021,22,1
FIVE GUYS FAMOUS BURGERS AND FRIES,Hamburgers,12/18/2023,7,1
THE RUBY,Other,07/11/2022,24,1
MAM,Asian/Asian Fusion,09/05/2024,27,0
LITTLE MAVEN,American,08/07/2024,16,1
HATSUHANA RESTAURANT,Japanese,03/24/2022,13,0
PRESSED JUICERY,"Juice, Smoothies, Fruit Salads",05/12/2022,15,0
Twenty-Sevens,American,09/10/2024,21,0
G'S CANDY STORE COFFEE SHOP,American,05/21/2024,44,1
VIVA MEXICO MEXICAN CUISINE,Mexican,11/28/2022,81,1
MAGNOLIA BAKERY,Bakery Products/Desserts,04/10/2024,22,1
THE DAWSON,American,05/23/2023,12,1
FIVE GUYS FAMOUS BURGERS AND FRIES,Hamburgers,03/07/2023,13,0
YAKITORI TOTTO,Japanese,06/06/2024,28,1
GALLEGO SEAFOOD 2 RESTAURANT,Seafood,06/15/2022,10,0
GREGORYS COFFEE,Coffee/Tea,04/14/2022,10,1
CHEF YU,Chinese,06/05/2024,40,1
GUADALUPE BAR AND GRILL,Mexican,02/08/2024,33,1
THALASSA,Greek,02/01/2024,8,0
TSQ FOOD COURT,Sandwiches,05/07/2024,53,0
ROSE BAKERY,French,02/20/2024,13,0
PARIS BAGUETTE,Bakery Products/Desserts,05/02/2023,30,0
G'S CANDY STORE COFFEE SHOP,American,02/27/2023,27,1
HYATT HERALD SQUARE,American,06/25/2024,10,0
HUDSON MALONE,American,03/15/2023,15,1
BABYLON,Turkish,05/16/2023,12,1
CHIPOTLE MEXICAN GRILL,Tex-Mex,01/23/2023,8,0
11 HOWARD KITCHEN,American,05/02/2023,7,1
NAPOLI PIZZA,Pizza,04/21/2022,0,1
MEI LAI WAH,Chinese,08/29/2023,36,1
TEA MAGIC,Coffee/Tea,01/14/2025,21,1
FREEMANS (FREEMANS ALLEY),American,12/09/2024,22,0
MOROCHAS CAFE,Latin American,10/31/2024,18,0
THE WATER CLUB,Seafood,02/23/2017,10,1
PEARL STREET HAMPTON INN,Continental,07/14/2022,34,1
TEN THOUSAND,Coffee/Tea,07/13/2023,20,1
WOLF AND LAMB,Jewish/Kosher,05/07/2024,12,1
FIDDLESTICKS,American,06/03/2023,2,0
DEMO KITCHEN,American,06/16/2022,9,1
SOFIA'S BAGEL,Bagels/Pretzels,12/06/2024,47,0
ROSSY'S BAKERY & COFFEE SHOP,Spanish,11/29/2023,11,0
TAL BAGELS,Bagels/Pretzels,06/21/2022,27,0
ST. GEORGE COFFEE,Bakery Products/Desserts,09/27/2024,30,1
Panineria,Sandwiches,05/16/2024,19,0
MAZ MEZCAL,Mexican,03/19/2023,23,0
Restaurante La Rosa,Mexican,02/20/2025,65,0
Nonna Dora's Pasta Bar,Italian,12/04/2024,24,0
BLUESTONE LANE COFFEE,Australian,08/01/2023,27,1
POPEYES,Chicken,01/18/2023,13,0
LITTLE ITALY PIZZA,Pizza,05/22/2024,12,0
"DUNKIN', BASKIN ROBBINS",Donuts,03/28/2024,2,0
OL'DAYS,Coffee/Tea,09/03/2024,68,1
DUAL TOWNE PLACE SUITES/SPRINGHILL SUITES,Other,11/15/2022,23,0
BOBBY VAN'S GRILL,Steakhouse,04/20/2022,27,1
PANDA 148,Chinese,01/31/2023,14,1
OOTOYA,Japanese,06/13/2022,9,1
SWEETGREEN,Salads,04/11/2022,9,0
SHOGUN OMAKASE,Japanese,06/28/2023,9,0
MAMA'S RESTAURANT JAMAICAN AND AMERICAN FOOD,Caribbean,02/07/2023,13,0
ROYAL NAPOLI PIZZA,Pizza,07/25/2024,25,1
BAMBINA BLUE,Frozen Desserts,02/23/2022,21,0
JOHN'S PIZZA,Pizza,06/26/2023,34,1
809 GRILL & BAR RESTAURANT,Latin American,08/14/2018,19,0
PATISSERIE CHANSON,Bakery Products/Desserts,08/31/2023,29,0
AMY'S BREAD,Coffee/Tea,07/17/2023,18,0
OSCAR WILDE'S,American,08/04/2022,53,1
SERAFINA VINO E CUCINA,Italian,03/11/2024,51,1
SULLIVAN STREET BAKERY,Bakery Products/Desserts,05/09/2022,26,1
MALINEE,Thai,06/06/2024,44,0
FRESH CURRY,Bangladeshi,03/15/2022,86,0
VIVE LA CREPE,French,01/10/2025,37,1
DOMINO'S PIZZA #3680,Pizza,10/26/2023,13,1
THINK COFFEE,Coffee/Tea,02/13/2023,19,0
BANH MI ZON,Asian/Asian Fusion,08/22/2024,21,0
CROWN FRIED CHICKEN,Chicken,05/12/2022,0,0
LINCOLN CENTER KITCHEN @ DAVID GEFFEN HALL,American,08/15/2017,17,0
MOMOKAWA,Japanese,07/26/2022,31,1
TIM HO WAN,Chinese,05/11/2022,0,1
PUBLIC ARTS,American,03/22/2018,8,0
SMITHFIELD HALL,American,11/01/2023,71,0
TU CACHAPA,Spanish,01/30/2024,33,0
IHOP,Pancakes/Waffles,02/24/2025,25,1
HANE SUSHI,Japanese,09/06/2023,19,1
EL MIL SABORES,Tex-Mex,06/18/2024,25,0
SULLIVAN TAQUERIA,Tex-Mex,10/31/2022,83,0
MORGENSTERN'S BANANAS,Frozen Desserts,08/07/2023,24,0
THE DONUT PUB,Donuts,02/26/2025,21,0
M & W BAKERY,Bakery Products/Desserts,04/12/2023,8,0
RAVAGH PERSIAN GRILL,Iranian,11/10/2021,36,0
NEW IVOIRE,African,01/02/2025,21,0
NEW CHINATOWN,Chinese,08/18/2022,57,0
WIMPY'S RESTAURANT,American,02/18/2022,20,1
TBAR,American,06/22/2023,12,0
THE GREY DOG'S COFFEE,American,09/13/2022,13,0
SUBWAY,Sandwiches,07/19/2024,2,0
MOON KEE,Chinese,02/26/2025,24,1
THE LEXINGTON SOCIAL,American,02/12/2025,12,0
COSMIC CAT CAFE,Coffee/Tea,09/05/2024,10,1
AMBO,Indian,05/18/2022,25,1
BIN 71,French,01/26/2023,7,0
GELATERIA GENTILE,Italian,05/03/2023,13,1
BARBUTO WEST,Italian,03/13/2024,20,0
MOTEL MORRIS,American,10/24/2022,11,1
BRISAS DEL MAR SEAFOOD MARKET,Seafood,10/11/2023,67,0
SISTINA,Italian,04/18/2023,51,1
RUSTY'S FLAVOR,Caribbean,12/16/2024,27,1
DOUBLE ZERO,Italian,03/21/2024,13,1
MULLIGAN'S,Irish,09/29/2021,14,1
BARACHOU,French,02/09/2022,21,0
HARLEM BREAKFAST CLUB,American,06/27/2022,12,0
SCHMELTZER DINING HALL,American,10/04/2022,2,0
OLLIES 42ND,Chinese,04/23/2024,12,1
BLONDIES,American,02/13/2025,27,1
RESIDENCE INN MANHATTAN/MIDTOWN EAST,American,06/21/2024,24,1
SUNDAES AND CONES,Frozen Desserts,12/14/2023,7,0
HARLEM TAVERN,Coffee/Tea,01/18/2023,17,0
BLUE CORN RESTAURANT,Mexican,10/03/2023,25,1
TARA ROSE,American,06/15/2023,21,0
Salt & Pepper II Gourmet,American,05/29/2024,23,1
HARD ROCK CAFE,American,04/18/2023,12,1
LIL FRANKIE'S PIZZA,Italian,03/02/2022,23,1
PATENT COFFEE,American,06/22/2022,38,1
NAMI NORI,Japanese,02/16/2022,24,0
MADE IN NEW YORK PIZZA,Pizza,12/30/2024,13,0
MONTE'S TRATTORIA,Italian,05/01/2023,56,1
YAKINIKU FUTAGO,Japanese,09/26/2024,33,1
STICKY'S FINGER JOINT,Chicken,05/16/2023,19,0
GOLD BAR B BT6,American,04/29/2023,2,0
KAORU RESTAURANT,Japanese,11/20/2024,27,0
HARLEM BREAKFAST CLUB,American,06/23/2023,10,1
CHOP-SHOP,Asian/Asian Fusion,06/05/2024,34,1
JIMBO'S HAMBURGER PALACE,Hamburgers,10/25/2024,6,0
PIZZA ETALIA,Pizza,11/25/2024,41,1
LUDLOW HOUSE,American,07/29/2024,6,0
BETTY,New American,10/22/2024,10,0
RH F&B MEATPACKING,American,06/26/2023,8,1
MODERN BREAD AND BAGEL,Jewish/Kosher,09/10/2024,12,0
MANDARIN ORIENTAL NEW YORK- LOBBY LOUNGE 35TH FLOOR,Asian/Asian Fusion,04/04/2024,13,1
ANTON'S,American,12/07/2023,13,1
SAN LOCO,Mexican,08/08/2022,28,1
THAI PEPPERCORN,Thai,01/21/2025,17,1
JOE'S PIZZA,Pizza,04/09/2024,24,1
MOMO SUSHI,Japanese,07/13/2023,35,1
EUROPAN CAFE,American,05/13/2024,16,0
SEEYAMAÑANA,Tapas,12/02/2022,43,1
POMODORO RISTORANTE,Italian,04/11/2023,37,1
JERRELL'S BETR BRGR,Vegan,11/10/2021,22,1
BITES OF XI'AN,Chinese,07/03/2024,22,1
PEPPERCORN STATION,Chinese,07/18/2023,23,0
BUDAPEST CAFE,Eastern European,07/29/2024,44,0
VENCHI,Frozen Desserts,11/21/2024,10,0
WINGSTOP,Chicken,02/25/2025,13,1
FIVE MILE STONE,American,07/02/2024,21,1
JOE JR RESTAURANT,American,04/16/2024,34,1
MAMAN,French,10/28/2022,21,1
THE UNCOMMONS,Coffee/Tea,01/23/2024,27,1
KOCHI,Korean,12/15/2021,28,0
HER BOBA,Coffee/Tea,02/27/2023,103,1
THE GALLERY,Japanese,10/03/2023,12,0
UBER,American,04/28/2022,33,0
RESERVOIR,American,02/03/2025,11,1
JUFU GARDEN,Chinese,02/13/2023,25,1
GOLDEN BOWL RESTAURANT,Chinese,05/26/2023,78,1
375 CHICKEN N FRIES,Chicken,05/06/2022,43,1
JOE & THE JUICE (OCULUS WESTFIELD),"Juice, Smoothies, Fruit Salads",06/08/2022,40,1
W NEW YORK - UNION SQUARE,American,05/16/2024,20,1
WOLFGANG'S STEAKHOUSE,Steakhouse,05/01/2024,12,1
NEW KAM LAI,Chinese,06/15/2022,18,0
DUNKIN' DONUTS,Coffee/Tea,09/18/2024,12,1
RICK'S CABARET,American,07/21/2021,19,1
MR. LOPEZ BURGERS & BIKINIS,American,03/12/2024,9,1
PASTA LOVERS TRATTORIA,Italian,01/12/2022,76,1
IRVING FARM NEW YORK,Coffee/Tea,03/07/2024,21,1
161 LAFAYETTE,Bottled Beverages,01/26/2022,13,1
CHOPPED PARSLEY,Japanese,02/07/2024,9,1
NAPOLI PIZZA,Pizza,04/04/2024,29,1
SAGGIO RESTAURANT,Italian,02/29/2024,9,1
ARTHUR & SONS NY ITALIAN,Italian,09/12/2024,11,1
ZUCKER'S BAGELS,Bagels/Pretzels,02/02/2024,62,1
LOMBARDI'S,Pizza,01/06/2022,7,1
DA LONG YI HOT POT,Chinese,01/23/2024,8,0
MILI KAPI CAFE,American,10/06/2023,3,0
CAFFE NAPOLI,Italian,07/16/2024,59,0
BARAWINE,French,01/12/2023,26,1
STARBUCKS COFFEE #49550,Coffee/Tea,12/19/2023,8,0
OSAMIL,Korean,10/19/2022,27,0
Avenida,Mexican,08/01/2024,37,1
JACQUES BRASSERIE,French,02/07/2024,13,0
LA COCINA DE MAMA,Mexican,09/20/2023,48,1
DIG INN,American,02/01/2024,37,1
OOTOYA,Japanese,04/12/2022,22,1
SPORTY & RICH,"Juice, Smoothies, Fruit Salads",11/14/2024,22,1
